name,cwe,description,basescore,attackvector,attackcomplexity,privsreq,userinteraction,scope,confidentialityreq,integrityreq,availreq,exploitscore,impactscore,aerospace,epssscore,epsspercentile
CVE-2018-20250,36,The product uses external input to construct a pathname that should be within a restricted directory but it does not properly neutralize absolute path sequences such as abspath that can resolve to a location that is outside of that directory The product uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory but the product does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory In WinRAR versions prior to and including 561 There is path traversal vulnerability when crafting the filename field of the ACE format in UNACEV2dll When the filename field is manipulated with specific patterns the destination extraction folder is ignored thus treating the filename as an absolute path,7.8,2,0,0,1,0,2,2,2,1.8,5.9,1,0.973570000,0.999560000
CVE-2017-0213,0,Windows COM Aggregate Marshaler in Microsoft Windows Server 2008 SP2 and R2 SP1 Windows 7 SP1 Windows 81 Windows Server 2012 Gold and R2 Windows RT 81 Windows 10 Gold 1511 1607 and 1703 and Windows Server 2016 allows an elevation privilege vulnerability when an attacker runs a specially crafted application aka Windows COM Elevation of Privilege Vulnerability This CVE ID is unique from CVE20170214,7.3,2,0,1,1,0,2,2,2,1.3,5.9,1,0.866540000,0.988990000
CVE-2022-47966,20,The product receives input or data but it does not validate or incorrectly validates that the input has the properties that are required to process the data safely and correctly Multiple Zoho ManageEngine onpremise products such as ServiceDesk Plus through 14003 allow remote code execution due to use of Apache Santuario xmlsec aka XML Security for Java 141 because the xmlsec XSLT features by design in that version make the application responsible for certain security protections and the ManageEngine applications did not provide those protections This affects Access Manager Plus before 4308 Active Directory 360 before 4310 ADAudit Plus before 7081 ADManager Plus before 7162 ADSelfService Plus before 6211 Analytics Plus before 5150 Application Control Plus before 101222018 Asset Explorer before 6983 Browser Security Plus before 11122386 Device Control Plus before 101222018 Endpoint Central before 101222811 Endpoint Central MSP before 101222811 Endpoint DLP before 10121376 Key Manager Plus before 6401 OS Deployer before 1122431 PAM 360 before 5713 Password Manager Pro before 12124 Patch Manager Plus before 101222018 Remote Access Plus before 101222811 Remote Monitoring and Management RMM before 10141 ServiceDesk Plus before 14004 ServiceDesk Plus MSP before 13001 SupportCenter Plus before 11026 and Vulnerability Manager Plus before 101222018 Exploitation is only possible if SAML SSO has ever been configured for a product for some products exploitation requires that SAML SSO is currently active,9.8,0,0,0,0,0,2,2,2,3.9,5.9,1,0.975270000,0.999970000
CVE-2022-26134,917,The product constructs all or part of an expression language EL statement in a framework such as a Java Server Page JSP using externallyinfluenced input from an upstream component but it does not neutralize or incorrectly neutralizes special elements that could modify the intended EL statement before it is executed The product constructs all or part of an expression language EL statement in a framework such as a Java Server Page JSP using externallyinfluenced input from an upstream component but it does not neutralize or incorrectly neutralizes special elements that could modify the intended EL statement before it is executed In affected versions of Confluence Server and Data Center an OGNL injection vulnerability exists that would allow an unauthenticated attacker to execute arbitrary code on a Confluence Server or Data Center instance The affected versions are from 130 before 7417 from 7130 before 7137 from 7140 before 7143 from 7150 before 7152 from 7160 before 7164 from 7170 before 7174 and from 7180 before 7181,9.8,0,0,0,0,0,2,2,2,3.9,5.9,1,0.973410000,0.999540000
CVE-2022-42475,197,Truncation errors occur when a primitive is cast to a primitive of a smaller size and data is lost in the conversion The product writes data past the end or before the beginning of the intended buffer A heapbased buffer overflow vulnerability CWE122in FortiOS SSLVPN 720 through 722 700 through 708 640 through 6410 620 through 6211 6015 and earlier and FortiProxy SSLVPN 720 through 721 707 and earlier may allow a remote unauthenticated attacker to execute arbitrary code or commands via specifically crafted requests,9.8,0,0,0,0,0,2,2,2,3.9,5.9,1,0.257330000,0.968090000
CVE-2021-21551,782,The product implements an IOCTL with functionality that should be restricted but it does not properly enforce access control for the IOCTL Dell dbutil23sys driver contains an insufficient access control vulnerability which may lead to escalation of privileges denial of service or information disclosure Local authenticated user access is required,8.8,2,0,1,0,1,2,2,2,2.0,6.0,1,0.005220000,0.771870000
CVE-2015-5122 ,416,The product reuses or references memory after it has been freed At some point afterward the memory may be allocated again and saved in another pointer while the original pointer references a location somewhere within the new allocation Any operations using the original pointer are no longer valid because the memory belongs to the code that operates on the new pointer The product reuses or references memory after it has been freed At some point afterward the memory may be allocated again and saved in another pointer while the original pointer references a location somewhere within the new allocation Any operations using the original pointer are no longer valid because the memory belongs to the code that operates on the new pointer Useafterfree vulnerability in the DisplayObject class in the ActionScript 3 AS3 implementation in Adobe Flash Player 13x through 1300302 on Windows and OS X 14x through 1800203 on Windows and OS X 11x through 112202481 on Linux and 12x through 1800204 on Linux Chrome installations allows remote attackers to execute arbitrary code or cause a denial of service memory corruption via crafted Flash content that leverages improper handling of the opaqueBackground property as exploited in the wild in July 2015,9.8,0,0,0,0,0,2,2,2,3.9,5.9,1,0.969910000,0.998550000
CVE-2017-0199,0,Microsoft Office 2007 SP3 Microsoft Office 2010 SP2 Microsoft Office 2013 SP1 Microsoft Office 2016 Microsoft Windows Vista SP2 Windows Server 2008 SP2 Windows 7 SP1 Windows 81 allow remote attackers to execute arbitrary code via a crafted document aka Microsoft OfficeWordPad Remote Code Execution Vulnerability wWindows API,7.8,2,0,0,1,0,2,2,2,1.8,5.9,1,0.974590000,0.999820000
CVE-2013-5065,0,NDProxysys in the kernel in Microsoft Windows XP SP2 and SP3 and Server 2003 SP2 allows local users to gain privileges via a crafted application as exploited in the wild in November 2013,7.8,2,0,0,1,0,2,2,2,1.8,5.9,1,0.285540000,0.969600000
CVE-2013-3346,787,The product writes data past the end or before the beginning of the intended buffer The product writes data past the end or before the beginning of the intended buffer Adobe Reader and Acrobat 9x before 955 10x before 1017 and 11x before 11003 allow attackers to execute arbitrary code or cause a denial of service memory corruption via unspecified vectors a different vulnerability than CVE20132718 CVE20132719 CVE20132720 CVE20132721 CVE20132722 CVE20132723 CVE20132725 CVE20132726 CVE20132731 CVE20132732 CVE20132734 CVE20132735 CVE20132736 CVE20133337 CVE20133338 CVE20133339 CVE20133340 and CVE20133341,9.8,0,0,0,0,0,2,2,2,3.9,5.9,1,0.968900000,0.998280000
